Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) 
Latvia,LVA,EU,2020,0.95,0.87,0.72,1.19,0.87,0.47,57,1,2
Latvia,LVA,EU,2021,0.98,0.87,0.75,1.22,0.91,0.69,59,,
Lebanon,LBN,AS,2020,-0.89,-1.18,-1.16,-0.75,-0.55,-1.62,25,5,4
Lebanon,LBN,AS,2021,-1.07,-1.29,-1.23,-0.88,-0.63,-1.49,24,,
Lesotho,LSO,AF,2020,-0.47,-0.95,-0.11,-0.65,-0.01,-0.25,41,3,3
Lesotho,LSO,AF,2021,-0.41,-0.91,-0.32,-0.74,-0.02,-0.22,38,,
Liberia,LBR,AF,2020,-1.02,-1.43,-0.88,-1.02,-0.07,-0.37,28,3,4
Liberia,LBR,AF,2021,-0.93,-1.38,-0.92,-0.95,-0.02,-0.24,29,,
Libya,LBY,AF,2020,-1.86,-1.84,-1.57,-2.2,-1.36,-2.46,17,7,6
Libya,LBY,AF,2021,-1.78,-1.72,-1.57,-1.95,-1.46,-2.37,17,,
Liechtenstein,LIE,EU,2020,1.75,1.81,2,1.63,1.26,1.69,,2,1
Liechtenstein,LIE,EU,2021,1.74,1.51,1.7,1.54,1.34,1.64,,,
Lithuania,LTU,EU,2020,0.99,1.05,0.8,1.09,1.01,0.93,60,1,1
Lithuania,LTU,EU,2021,1.11,1.06,0.85,1.28,1.04,0.82,61,,
Luxembourg,LUX,EU,2020,1.78,1.83,2.06,1.85,1.5,1.23,80,1,1
Luxembourg,LUX,EU,2021,1.79,1.72,1.87,1.92,1.51,1.21,81,,
Macao,MAC,AS,2020,0.84,1.12,0.8,1.74,-0.29,1.15,,,
Macao,MAC,AS,2021,0.81,1.13,0.85,1.78,-0.53,1.05,,,
Madagascar,MDG,AF,2020,-0.86,-1.03,-0.99,-0.8,-0.26,-0.53,25,3,3
Madagascar,MDG,AF,2021,-0.87,-1,-0.93,-0.82,-0.27,-0.64,26,,
Malawi,MWI,AF,2020,-0.27,-0.8,-0.37,-0.77,0.01,-0.11,30,3,3
Malawi,MWI,AF,2021,-0.24,-0.77,-0.3,-0.79,0.08,-0.11,35,,
Malaysia,MYS,AS,2020,0.59,1.06,0.25,0.68,-0.15,0.11,51,4,4
Malaysia,MYS,AS,2021,0.56,0.99,0.17,0.72,-0.15,0.14,48,,
Maldives,MDV,AS,2020,-0.29,-0.01,-0.33,-0.49,-0.32,0.39,43,4,5
Maldives,MDV,AS,2021,-0.17,0.39,-0.37,-0.52,-0.24,0.5,40,,
Mali,MLI,AF,2020,-0.93,-1.17,-0.78,-0.66,-0.74,-2.13,30,5,5
Mali,MLI,AF,2021,-0.9,-1.22,-0.87,-0.62,-0.78,-2.35,29,,
Malta,MLT,EU,2020,0.91,1.03,0.37,1.22,1.12,1.01,53,2,1
Malta,MLT,EU,2021,0.86,0.89,0.32,0.81,1.08,0.97,54,,
Mauritania,MRT,AF,2020,-0.59,-0.81,-0.79,-0.88,-0.83,-0.72,29,5,5
Mauritania,MRT,AF,2021,-0.67,-0.73,-0.82,-1.06,-0.77,-0.67,28,,
Mauritius,MUS,AF,2020,0.93,0.88,0.47,1.19,0.71,0.88,53,1,2
Mauritius,MUS,AF,2021,0.87,0.85,0.47,1.17,0.66,0.86,54,,
Mexico,MEX,NA,2020,-0.65,-0.24,-0.9,0,-0.03,-0.86,31,3,3
Mexico,MEX,NA,2021,-0.8,-0.31,-1,-0.23,-0.07,-0.64,31,,
Micronesia,FSM,OC,2020,0.21,0.18,0.87,-0.96,1.13,1.08,,1,1
Micronesia,FSM,OC,2021,0.52,0.12,0.56,-0.79,1.1,1.11,,,
Moldova,MDA,EU,2020,-0.47,-0.51,-0.55,0,-0.04,-0.35,34,3,4
Moldova,MDA,EU,2021,-0.33,-0.4,-0.45,0.01,0.05,-0.21,36,,
Monaco,MCO,EU,2020,,,,,0.68,0.89,,3,1
Monaco,MCO,EU,2021,,,,,0.71,0.91,,,
Mongolia,MNG,AS,2020,-0.24,-0.37,-0.47,-0.06,0.38,0.72,35,1,2
Mongolia,MNG,AS,2021,-0.23,-0.47,-0.53,-0.21,0.32,0.65,35,,
Montenegro,MNE,EU,2020,-0.01,-0.07,-0.02,0.44,0.04,-0.06,45,4,3
Montenegro,MNE,EU,2021,-0.06,0.01,-0.02,0.43,0.17,-0.15,46,,
Morocco,MAR,AF,2020,-0.19,-0.09,-0.42,-0.04,-0.6,-0.35,40,5,5
Morocco,MAR,AF,2021,-0.25,-0.07,-0.43,-0.12,-0.61,-0.4,39,,
Mozambique,MOZ,AF,2020,-1.05,-0.78,-0.77,-0.76,-0.6,-1.3,25,5,4
Mozambique,MOZ,AF,2021,-1.04,-0.77,-0.81,-0.78,-0.61,-1.23,26,,
Namibia,NAM,AF,2020,0.36,0.07,0.3,0.03,0.56,0.53,51,2,2
Namibia,NAM,AF,2021,0.36,0.06,0.26,-0,0.57,0.55,49,,
Nepal,NPL,AS,2020,-0.49,-0.94,-0.57,-0.7,-0.08,-0.2,33,3,4
Nepal,NPL,AS,2021,-0.47,-0.87,-0.53,-0.62,-0.09,-0.24,33,,
Netherlands,NLD,EU,2020,1.75,1.84,2.03,1.76,1.52,0.86,82,1,1
Netherlands,NLD,EU,2021,1.74,1.77,2.04,1.75,1.5,0.92,82,,
New Zealand,NZL,OC,2020,1.87,1.58,2.15,1.88,1.6,1.49,88,1,1
New Zealand,NZL,OC,2021,1.82,1.35,2.2,1.81,1.62,1.44,88,,
Nicaragua,NIC,NA,2020,-1.18,-0.65,-1.16,-0.66,-1.1,-0.6,22,6,5
Nicaragua,NIC,NA,2021,-1.36,-0.85,-1.24,-0.84,-1.29,-0.47,20,,
Niger,NER,AF,2020,-0.56,-0.63,-0.62,-0.78,-0.49,-1.66,32,4,4
Niger,NER,AF,2021,-0.4,-0.61,-0.55,-0.75,-0.39,-1.62,31,,
Nigeria,NGA,AF,2020,-0.83,-1.12,-1.08,-1.01,-0.58,-1.87,25,4,5
Nigeria,NGA,AF,2021,-0.86,-1,-1.07,-0.93,-0.64,-1.78,24,,
North Korea,PRK,AS,2020,-1.6,-1.47,-1.69,-2.35,-2.16,-0.41,18,7,7
North Korea,PRK,AS,2021,-1.63,-1.56,-1.61,-2.33,-2.07,-0.45,16,,
North Macedonia,MKD,EU,2020,-0.08,0.06,-0.47,0.45,0.06,0.11,35,3,3
North Macedonia,MKD,EU,2021,-0.08,-0.08,-0.35,0.42,0.14,0.12,39,,
Norway,NOR,EU,2020,1.97,1.93,2.1,1.7,1.72,1.25,84,1,1
Norway,NOR,EU,2021,1.95,1.84,2.14,1.64,1.75,1.1,85,,
Oman,OMN,AS,2020,0.62,0.14,0.23,0.46,-1.14,0.43,54,6,5
Oman,OMN,AS,2021,0.41,-0.12,0.09,0.33,-1.19,0.51,52,,
Pakistan,PAK,AS,2020,-0.69,-0.54,-0.83,-0.73,-0.88,-1.79,31,5,5
Pakistan,PAK,AS,2021,-0.64,-0.4,-0.79,-0.73,-0.84,-1.67,28,,
Palau,PLW,OC,2020,-0.19,-0.05,-0.47,0.06,1.08,0.93,,1,1
Palau,PLW,OC,2021,-0.16,-0.28,-0.43,0.19,1.06,0.95,,,
Palestine,PS,AS,2020,-0.46,-0.65,-0.55,0.08,-1.13,-2.01,,,
Palestine,PS,AS,2021,-0.5,-0.77,-0.74,-0.02,-1.11,-1.84,,,
Panama,PAN,NA,2020,-0.27,0.2,-0.56,0.33,0.58,0.24,35,1,2
Panama,PAN,NA,2021,-0.25,0.16,-0.57,0.19,0.55,0.29,36,,
Papua New Guinea,PNG,OC,2020,-0.7,-0.84,-0.58,-0.69,0.03,-0.7,27,4,3
Papua New Guinea,PNG,OC,2021,-0.74,-0.89,-0.76,-0.83,0.02,-0.58,31,,
Paraguay,PRY,SA,2020,-0.41,-0.54,-0.84,-0.13,0.05,0.02,28,3,3
Paraguay,PRY,SA,2021,-0.56,-0.62,-1.01,-0.21,0.01,-0,30,,
